Date,Open,High,Low,Close,Adj Close,Volume
12-10-2020,330,340,330,334.549988,330.67395,29641
13-10-2020,330.5,360,330.5,357.200012,353.061554,107828
14-10-2020,360.5,364.200012,352.100006,357.600006,353.456909,91340
15-10-2020,358.950012,358.950012,336.549988,339.950012,336.011414,53900
16-10-2020,339,360,339,357.049988,352.913269,18825
19-10-2020,358.100006,362.350006,352,358.75,354.593597,30955
20-10-2020,355.299988,357.950012,348.049988,349.450012,345.401337,9926
21-10-2020,353,353,336.100006,344.399994,340.409821,21767
22-10-2020,338.5,365,334,361.600006,357.410583,56804
23-10-2020,365,378.299988,363,369.399994,365.120178,77518
26-10-2020,373,373,350.350006,355.600006,351.480072,37175
27-10-2020,345.600006,360,345.450012,347.600006,343.572784,35896
28-10-2020,352,355.200012,345.399994,347.399994,343.375061,13688
29-10-2020,350.899994,350.899994,324,327.100006,323.310272,30061
30-10-2020,323,333.149994,315,316.75,313.0802,40891
02-11-2020,317.899994,324.549988,300.799988,318.299988,314.612213,26240
03-11-2020,315.25,331.399994,314.200012,320.899994,317.182098,22933
04-11-2020,315.200012,329.549988,315.200012,328.5,324.694061,23564
05-11-2020,330,343,330,339.549988,335.616028,19104
06-11-2020,342.899994,344.600006,328.5,331.25,327.412201,31633
09-11-2020,331.899994,338.5,330,334.100006,330.229187,7702
10-11-2020,336,336.799988,324.950012,328.600006,324.792908,10454
11-11-2020,329,336.399994,329,335.200012,331.316437,9195
12-11-2020,334,341.600006,333.600006,339.350006,335.418365,20599
13-11-2020,338.600006,351.799988,333.100006,342.899994,338.927216,18954
14-11-2020,null,null,null,null,null,null
17-11-2020,353.5,353.5,344.299988,345.25,341.25,8059
18-11-2020,342.450012,343.299988,335.399994,338.100006,338.100006,7734
19-11-2020,344.200012,348.399994,337,340.600006,340.600006,7865
20-11-2020,344,347.5,341.149994,345.200012,345.200012,27636
23-11-2020,340,346,335.299988,338.700012,338.700012,15423
24-11-2020,342.799988,354.399994,341,350.649994,350.649994,51957
25-11-2020,342.399994,353.75,340,342.149994,342.149994,9680
26-11-2020,342,343.549988,337.049988,340.200012,340.200012,11633
27-11-2020,345,349.700012,335.950012,339.700012,339.700012,23649
01-12-2020,349.649994,349.649994,341.5,344.549988,344.549988,6645
02-12-2020,345.600006,346.549988,343.75,344.350006,344.350006,4671
03-12-2020,347,348.5,336.799988,345.350006,345.350006,18872
04-12-2020,347.850006,347.850006,340.200012,343.399994,343.399994,4904
07-12-2020,345,349.5,344.5,347.549988,347.549988,10830
08-12-2020,347.549988,349.5,344,344.899994,344.899994,11500
09-12-2020,344.25,355.950012,343.049988,353.799988,353.799988,35180
10-12-2020,352.700012,355,343.299988,350.100006,350.100006,28985
11-12-2020,350.100006,361,350.100006,354.700012,354.700012,24966
14-12-2020,361,361,350,351.25,351.25,19536
15-12-2020,354.200012,357.350006,350,353.799988,353.799988,12804
16-12-2020,356,358,352.200012,353.600006,353.600006,6585
17-12-2020,352.600006,368.950012,352.600006,366.049988,366.049988,50831
18-12-2020,370,372.950012,359,368.049988,368.049988,18151
21-12-2020,368.700012,374.149994,346.75,349.399994,349.399994,56969
22-12-2020,336,369.899994,336,366.100006,366.100006,33360
23-12-2020,368.950012,387.25,362.350006,377,377,67223
24-12-2020,378.850006,396.850006,377.399994,388.399994,388.399994,56965
28-12-2020,391,405,391,396.700012,396.700012,39725
29-12-2020,399.899994,406,386.5,389.549988,389.549988,14708
30-12-2020,392.75,400.100006,390,398.649994,398.649994,19985
31-12-2020,399,400.649994,392.100006,394.299988,394.299988,23264
01-01-2021,391,397.75,391,393.149994,393.149994,9700
04-01-2021,397,400.950012,390.5,394.299988,394.299988,12704
05-01-2021,398.700012,411.899994,393.5,406.799988,406.799988,35334
06-01-2021,408,412.049988,387.850006,400.649994,400.649994,26750
07-01-2021,400,415,393.450012,407.299988,407.299988,56580
08-01-2021,412.700012,432,410,429.149994,429.149994,68412
11-01-2021,431.549988,434.399994,416,426.399994,426.399994,27581
12-01-2021,426,434.899994,422.799988,423.950012,423.950012,26546
13-01-2021,432,432,410.600006,416.25,416.25,12918
14-01-2021,413.350006,417.799988,406.450012,407.950012,407.950012,25233
15-01-2021,413,414,395.149994,400.049988,400.049988,22422
18-01-2021,413,413,390.299988,392.950012,392.950012,12954
19-01-2021,396.25,405,396.25,401.549988,401.549988,20143
20-01-2021,406,408.149994,396.049988,399.549988,399.549988,4606
21-01-2021,403,424.149994,401,416.649994,416.649994,63653
22-01-2021,417.600006,429,412,412.850006,412.850006,34976
25-01-2021,415,417.899994,401.299988,403.5,403.5,13501
27-01-2021,404.200012,414.649994,400.350006,411.299988,411.299988,26517
28-01-2021,405.399994,406.700012,396,397.899994,397.899994,13601
29-01-2021,401.200012,405.600006,381.350006,387.149994,387.149994,7827
01-02-2021,380,387.700012,353.950012,370.149994,370.149994,89513
02-02-2021,380,387.450012,367,369.899994,369.899994,36286
03-02-2021,379,389,370,384.450012,384.450012,34497
04-02-2021,388.799988,407.450012,387.450012,402.399994,402.399994,39435
05-02-2021,404,414.600006,384.950012,406.549988,406.549988,56909
08-02-2021,401.299988,418.549988,401.299988,417.25,417.25,78015
09-02-2021,420,420,403.649994,406.049988,406.049988,9296
10-02-2021,415,415,399.200012,401.149994,401.149994,11867
11-02-2021,401.399994,405.350006,400.200012,403,403,7220
12-02-2021,404.549988,419.299988,392.600006,400.200012,400.200012,32961
15-02-2021,403,404.399994,390.600006,392.049988,392.049988,6092
16-02-2021,397.600006,400.450012,392.799988,395.049988,395.049988,8714
17-02-2021,394.049988,397.25,386,387.299988,387.299988,222366
18-02-2021,390.399994,406.25,389,396.149994,396.149994,16439
19-02-2021,393,405,393,399.149994,399.149994,16974
22-02-2021,400,478,400,467.25,467.25,431498
23-02-2021,481,528.099976,466.799988,483.850006,483.850006,786694
24-02-2021,483.700012,490,387.149994,472,472,195015
25-02-2021,470,500,470,491.5,491.5,128203
26-02-2021,489.899994,490,472.350006,478.899994,478.899994,106231
01-03-2021,479,493.350006,465.299988,476.649994,476.649994,40091
02-03-2021,489.950012,499,482.5,488.399994,488.399994,42313
03-03-2021,492,507.950012,482.350006,486.399994,486.399994,49098
